date,store,cash,total
2025-10-02,Боба Рэббит,non-cash,10625
2025-10-02,Галерея Краснодар,cash,1450
2025-10-02,Галерея Краснодар,non-cash,10150
2025-10-02,Геленджик,cash,350
2025-10-02,Геленджик,non-cash,2250
2025-10-02,Грин Парк,cash,200
2025-10-02,Грин Парк,non-cash,8525
2025-10-02,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,500
2025-10-02,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,1520
2025-10-02,Красная,cash,1805
2025-10-02,Красная,non-cash,7630
2025-10-02,Краснодар Оз Мол,cash,650
2025-10-02,Краснодар Оз Мол,non-cash,7810
2025-10-02,Советов,cash,1875
2025-10-02,Советов,non-cash,11650
2025-10-02,Черноморский,cash,2200
2025-10-02,Черноморский,non-cash,2160
2025-10-03,Анапа Черноморская,cash,200
2025-10-03,Анапа Черноморская,non-cash,2700
2025-10-03,Боба Рэббит,cash,950
2025-10-03,Боба Рэббит,non-cash,10450
2025-10-03,Галерея Краснодар,cash,1450
2025-10-03,Галерея Краснодар,non-cash,4550
2025-10-03,Геленджик,cash,1000
2025-10-03,Геленджик,non-cash,2175
2025-10-03,Грин Парк,cash,1500
2025-10-03,Грин Парк,non-cash,7025
2025-10-03,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1400
2025-10-03,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,6775
2025-10-03,Красная,cash,0
2025-10-03,Красная,non-cash,6660
2025-10-03,Краснодар Оз Мол,cash,350
2025-10-03,Краснодар Оз Мол,non-cash,4975
2025-10-03,Советов,cash,1130
2025-10-03,Советов,non-cash,16485
2025-10-03,Черноморский,cash,4400
2025-10-03,Черноморский,non-cash,3075
2025-10-04,Анапа Черноморская,cash,450
2025-10-04,Анапа Черноморская,non-cash,4500
2025-10-04,Боба Рэббит,cash,9950
2025-10-04,Боба Рэббит,non-cash,24550
2025-10-04,Галерея Краснодар,cash,3450
2025-10-04,Галерея Краснодар,non-cash,17875
2025-10-04,Геленджик,cash,3950
2025-10-04,Геленджик,non-cash,1700
2025-10-04,Грин Парк,cash,800
2025-10-04,Грин Парк,non-cash,15150
2025-10-04,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,100
2025-10-04,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3400
2025-10-04,Красная,cash,2750
2025-10-04,Красная,non-cash,10000
2025-10-04,Краснодар Оз Мол,cash,2400
2025-10-04,Краснодар Оз Мол,non-cash,5600
2025-10-04,Советов,cash,500
2025-10-04,Советов,non-cash,9100
2025-10-04,Черноморский,cash,5100
2025-10-04,Черноморский,non-cash,11633
2025-10-05,Анапа Черноморская,cash,500
2025-10-05,Анапа Черноморская,non-cash,350
2025-10-05,Боба Рэббит,cash,10100
2025-10-05,Боба Рэббит,non-cash,22650
2025-10-05,Галерея Краснодар,cash,2050
2025-10-05,Галерея Краснодар,non-cash,16600
2025-10-05,Геленджик,cash,2600
2025-10-05,Геленджик,non-cash,0
2025-10-05,Грин Парк,cash,8260
2025-10-05,Грин Парк,non-cash,15250
2025-10-05,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,250
2025-10-05,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,6350
2025-10-05,Красная,cash,1800
2025-10-05,Красная,non-cash,11800
2025-10-05,Краснодар Оз Мол,cash,1300
2025-10-05,Краснодар Оз Мол,non-cash,13677
2025-10-05,Советов,cash,400
2025-10-05,Советов,non-cash,5500
2025-10-05,Черноморский,cash,50
2025-10-05,Черноморский,non-cash,11270
2025-10-06,Анапа Черноморская,cash,0
2025-10-06,Анапа Черноморская,non-cash,1650
2025-10-06,Боба Рэббит,cash,750
2025-10-06,Боба Рэббит,non-cash,5200
2025-10-06,Галерея Краснодар,cash,0
2025-10-06,Галерея Краснодар,non-cash,7285
2025-10-06,Грин Парк,cash,1160
2025-10-06,Грин Парк,non-cash,4725
2025-10-06,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,500
2025-10-06,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3450
2025-10-06,Красная,cash,550
2025-10-06,Красная,non-cash,4425
2025-10-06,Краснодар Оз Мол,cash,0
2025-10-06,Краснодар Оз Мол,non-cash,2050
2025-10-06,Советов,cash,1500
2025-10-06,Советов,non-cash,6560
2025-10-06,Черноморский,cash,800
2025-10-06,Черноморский,non-cash,7250
2025-10-07,Анапа Черноморская,cash,0
2025-10-07,Анапа Черноморская,non-cash,2000
2025-10-07,Боба Рэббит,cash,2000
2025-10-07,Боба Рэббит,non-cash,8600
2025-10-07,Галерея Краснодар,cash,1050
2025-10-07,Галерея Краснодар,non-cash,4950
2025-10-07,Геленджик,cash,4350
2025-10-07,Геленджик,non-cash,0
2025-10-07,Грин Парк,cash,2050
2025-10-07,Грин Парк,non-cash,5875
2025-10-07,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,450
2025-10-07,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3500
2025-10-07,Красная,cash,950
2025-10-07,Красная,non-cash,9350
2025-10-07,Краснодар Оз Мол,cash,0
2025-10-07,Краснодар Оз Мол,non-cash,3600
2025-10-07,Советов,cash,2230
2025-10-07,Советов,non-cash,5050
2025-10-07,Черноморский,cash,1200
2025-10-07,Черноморский,non-cash,7900
2025-10-08,Анапа Черноморская,cash,2650
2025-10-08,Анапа Черноморская,non-cash,2200
2025-10-08,Боба Рэббит,cash,900
2025-10-08,Боба Рэббит,non-cash,2850
2025-10-08,Галерея Краснодар,cash,350
2025-10-08,Галерея Краснодар,non-cash,5600
2025-10-08,Геленджик,cash,900
2025-10-08,Геленджик,non-cash,400
2025-10-08,Грин Парк,cash,0
2025-10-08,Грин Парк,non-cash,4775
2025-10-08,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-08,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2650
2025-10-08,Красная,cash,0
2025-10-08,Красная,non-cash,7425
2025-10-08,Краснодар Оз Мол,cash,350
2025-10-08,Краснодар Оз Мол,non-cash,4550
2025-10-08,Советов,cash,1600
2025-10-08,Советов,non-cash,7175
2025-10-08,Черноморский,cash,400
2025-10-08,Черноморский,non-cash,4250
2025-10-09,Анапа Черноморская,cash,0
2025-10-09,Анапа Черноморская,non-cash,1300
2025-10-09,Боба Рэббит,cash,2400
2025-10-09,Боба Рэббит,non-cash,11050
2025-10-09,Галерея Краснодар,cash,1600
2025-10-09,Галерея Краснодар,non-cash,5100
2025-10-09,Геленджик,cash,350
2025-10-09,Геленджик,non-cash,350
2025-10-09,Грин Парк,cash,1700
2025-10-09,Грин Парк,non-cash,5400
2025-10-09,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-09,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2400
2025-10-09,Красная,cash,750
2025-10-09,Красная,non-cash,4350
2025-10-09,Краснодар Оз Мол,cash,1750
2025-10-09,Краснодар Оз Мол,non-cash,3660
2025-10-09,Советов,cash,1150
2025-10-09,Советов,non-cash,7800
2025-10-09,Черноморский,cash,1850
2025-10-09,Черноморский,non-cash,3295
2025-10-10,Анапа Черноморская,cash,150
2025-10-10,Анапа Черноморская,non-cash,2000
2025-10-10,Боба Рэббит,cash,4550
2025-10-10,Боба Рэббит,non-cash,12725
2025-10-10,Галерея Краснодар,cash,3050
2025-10-10,Галерея Краснодар,non-cash,4850
2025-10-10,Геленджик,cash,0
2025-10-10,Геленджик,non-cash,250
2025-10-10,Грин Парк,cash,1150
2025-10-10,Грин Парк,non-cash,7900
2025-10-10,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,500
2025-10-10,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,5525
2025-10-10,Красная,cash,1150
2025-10-10,Красная,non-cash,5825
2025-10-10,Краснодар Оз Мол,cash,1600
2025-10-10,Краснодар Оз Мол,non-cash,1300
2025-10-10,Советов,cash,750
2025-10-10,Советов,non-cash,6735
2025-10-10,Черноморский,cash,0
2025-10-10,Черноморский,non-cash,2850
2025-10-11,Анапа Черноморская,cash,400
2025-10-11,Анапа Черноморская,non-cash,850
2025-10-11,Боба Рэббит,cash,5900
2025-10-11,Боба Рэббит,non-cash,28450
2025-10-11,Галерея Краснодар,cash,1715
2025-10-11,Галерея Краснодар,non-cash,16250
2025-10-11,Геленджик,cash,795
2025-10-11,Геленджик,non-cash,1425
2025-10-11,Грин Парк,cash,2200
2025-10-11,Грин Парк,non-cash,17535
2025-10-11,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,2550
2025-10-11,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,9325
2025-10-11,Красная,cash,3740
2025-10-11,Красная,non-cash,14125
2025-10-11,Краснодар Оз Мол,cash,2900
2025-10-11,Краснодар Оз Мол,non-cash,16750
2025-10-11,Советов,cash,1050
2025-10-11,Советов,non-cash,6395
2025-10-11,Черноморский,cash,1150
2025-10-11,Черноморский,non-cash,6700
2025-10-12,Анапа Черноморская,cash,550
2025-10-12,Анапа Черноморская,non-cash,1500
2025-10-12,Боба Рэббит,cash,2800
2025-10-12,Боба Рэббит,non-cash,19305
2025-10-12,Галерея Краснодар,cash,1450
2025-10-12,Галерея Краснодар,non-cash,15725
2025-10-12,Геленджик,cash,2450
2025-10-12,Геленджик,non-cash,1425
2025-10-12,Грин Парк,cash,4750
2025-10-12,Грин Парк,non-cash,12155
2025-10-12,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,4410
2025-10-12,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,13088
2025-10-12,Красная,cash,600
2025-10-12,Красная,non-cash,14050
2025-10-12,Краснодар Оз Мол,cash,2450
2025-10-12,Краснодар Оз Мол,non-cash,14150
2025-10-12,Советов,cash,750
2025-10-12,Советов,non-cash,9250
2025-10-12,Черноморский,cash,0
2025-10-12,Черноморский,non-cash,14275
2025-10-13,Анапа Черноморская,cash,450
2025-10-13,Анапа Черноморская,non-cash,700
2025-10-13,Боба Рэббит,cash,2100
2025-10-13,Боба Рэббит,non-cash,11450
2025-10-13,Галерея Краснодар,cash,75
2025-10-13,Галерея Краснодар,non-cash,4250
2025-10-13,Грин Парк,cash,1350
2025-10-13,Грин Парк,non-cash,8150
2025-10-13,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1700
2025-10-13,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,1500
2025-10-13,Красная,cash,2800
2025-10-13,Красная,non-cash,3350
2025-10-13,Краснодар Оз Мол,cash,0
2025-10-13,Краснодар Оз Мол,non-cash,2325
2025-10-13,Советов,cash,0
2025-10-13,Советов,non-cash,4125
2025-10-13,Черноморский,cash,0
2025-10-13,Черноморский,non-cash,900
2025-10-14,Анапа Черноморская,cash,0
2025-10-14,Анапа Черноморская,non-cash,2750
2025-10-14,Боба Рэббит,cash,1650
2025-10-14,Боба Рэббит,non-cash,8000
2025-10-14,Галерея Краснодар,cash,700
2025-10-14,Галерея Краснодар,non-cash,4450
2025-10-14,Грин Парк,cash,1050
2025-10-14,Грин Парк,non-cash,9100
2025-10-14,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1400
2025-10-14,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3240
2025-10-14,Красная,cash,1650
2025-10-14,Красная,non-cash,4000
2025-10-14,Краснодар Оз Мол,cash,500
2025-10-14,Краснодар Оз Мол,non-cash,5300
2025-10-14,Советов,cash,4600
2025-10-14,Советов,non-cash,3957
2025-10-14,Черноморский,cash,2225
2025-10-14,Черноморский,non-cash,2325
2025-10-15,Боба Рэббит,cash,1000
2025-10-15,Боба Рэббит,non-cash,10980
2025-10-15,Галерея Краснодар,cash,450
2025-10-15,Галерея Краснодар,non-cash,5030
2025-10-15,Грин Парк,cash,1100
2025-10-15,Грин Парк,non-cash,9075
2025-10-15,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,2150
2025-10-15,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3650
2025-10-15,Красная,cash,750
2025-10-15,Красная,non-cash,9075
2025-10-15,Краснодар Оз Мол,cash,1150
2025-10-15,Краснодар Оз Мол,non-cash,3500
2025-10-15,Советов,cash,1500
2025-10-15,Советов,non-cash,4150
2025-10-15,Черноморский,cash,0
2025-10-15,Черноморский,non-cash,2675
2025-10-16,Анапа Черноморская,cash,1650
2025-10-16,Анапа Черноморская,non-cash,1825
2025-10-16,Боба Рэббит,cash,3750
2025-10-16,Боба Рэббит,non-cash,10050
2025-10-16,Галерея Краснодар,cash,2425
2025-10-16,Галерея Краснодар,non-cash,4100
2025-10-16,Грин Парк,cash,1650
2025-10-16,Грин Парк,non-cash,8200
2025-10-16,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-16,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2356
2025-10-16,Красная,cash,1580
2025-10-16,Красная,non-cash,6700
2025-10-16,Краснодар Оз Мол,cash,800
2025-10-16,Краснодар Оз Мол,non-cash,3450
2025-10-16,Советов,cash,1250
2025-10-16,Советов,non-cash,9200
2025-10-16,Черноморский,cash,400
2025-10-16,Черноморский,non-cash,2675
2025-10-17,Анапа Черноморская,cash,350
2025-10-17,Анапа Черноморская,non-cash,1575
2025-10-17,Боба Рэббит,cash,1500
2025-10-17,Боба Рэббит,non-cash,7275
2025-10-17,Галерея Краснодар,cash,0
2025-10-17,Галерея Краснодар,non-cash,4500
2025-10-17,Грин Парк,cash,350
2025-10-17,Грин Парк,non-cash,7335
2025-10-17,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1100
2025-10-17,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2400
2025-10-17,Красная,cash,1000
2025-10-17,Красная,non-cash,9225
2025-10-17,Краснодар Оз Мол,cash,800
2025-10-17,Краснодар Оз Мол,non-cash,1900
2025-10-17,Советов,cash,975
2025-10-17,Советов,non-cash,8100
2025-10-17,Черноморский,cash,1250
2025-10-17,Черноморский,non-cash,5425
2025-10-18,Анапа Черноморская,cash,450
2025-10-18,Анапа Черноморская,non-cash,1050
2025-10-18,Боба Рэббит,cash,5125
2025-10-18,Боба Рэббит,non-cash,28870
2025-10-18,Галерея Краснодар,cash,1800
2025-10-18,Галерея Краснодар,non-cash,8440
2025-10-18,Грин Парк,cash,2950
2025-10-18,Грин Парк,non-cash,15010
2025-10-18,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,2200
2025-10-18,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,8025
2025-10-18,Красная,cash,1200
2025-10-18,Красная,non-cash,14475
2025-10-18,Краснодар Оз Мол,cash,3050
2025-10-18,Краснодар Оз Мол,non-cash,4950
2025-10-18,Советов,cash,1050
2025-10-18,Советов,non-cash,7144.43
2025-10-18,Черноморский,cash,1800
2025-10-18,Черноморский,non-cash,7650
2025-10-19,Анапа Черноморская,cash,1250
2025-10-19,Анапа Черноморская,non-cash,750
2025-10-19,Боба Рэббит,cash,10025
2025-10-19,Боба Рэббит,non-cash,28570
2025-10-19,Галерея Краснодар,cash,3650
2025-10-19,Галерея Краснодар,non-cash,10785
2025-10-19,Грин Парк,cash,1200
2025-10-19,Грин Парк,non-cash,15450
2025-10-19,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,700
2025-10-19,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,9388
2025-10-19,Красная,cash,4050
2025-10-19,Красная,non-cash,7458
2025-10-19,Краснодар Оз Мол,cash,6500
2025-10-19,Краснодар Оз Мол,non-cash,12010
2025-10-19,Советов,cash,1050
2025-10-19,Советов,non-cash,4550
2025-10-19,Черноморский,cash,2900
2025-10-19,Черноморский,non-cash,6825
2025-10-20,Анапа Черноморская,cash,0
2025-10-20,Анапа Черноморская,non-cash,1175
2025-10-20,Боба Рэббит,cash,1300
2025-10-20,Боба Рэббит,non-cash,9625
2025-10-20,Галерея Краснодар,cash,1200
2025-10-20,Галерея Краснодар,non-cash,3635
2025-10-20,Грин Парк,cash,600
2025-10-20,Грин Парк,non-cash,9375
2025-10-20,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-20,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3600
2025-10-20,Красная,cash,2800
2025-10-20,Красная,non-cash,5950
2025-10-20,Краснодар Оз Мол,cash,1250
2025-10-20,Краснодар Оз Мол,non-cash,2950
2025-10-20,Советов,cash,2610
2025-10-20,Советов,non-cash,6090
2025-10-20,Черноморский,cash,650
2025-10-20,Черноморский,non-cash,6150
2025-10-21,Анапа Черноморская,cash,25
2025-10-21,Анапа Черноморская,non-cash,2750
2025-10-21,Боба Рэббит,cash,650
2025-10-21,Боба Рэббит,non-cash,8350
2025-10-21,Галерея Краснодар,cash,950
2025-10-21,Галерея Краснодар,non-cash,5400
2025-10-21,Грин Парк,cash,800
2025-10-21,Грин Парк,non-cash,5880
2025-10-21,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-21,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2460
2025-10-21,Красная,cash,1100
2025-10-21,Красная,non-cash,5255
2025-10-21,Краснодар Оз Мол,cash,1400
2025-10-21,Краснодар Оз Мол,non-cash,1750
2025-10-21,Советов,cash,125
2025-10-21,Советов,non-cash,3950
2025-10-21,Черноморский,cash,1200
2025-10-21,Черноморский,non-cash,5325
2025-10-22,Анапа Черноморская,cash,1250
2025-10-22,Анапа Черноморская,non-cash,3200
2025-10-22,Боба Рэббит,cash,4220
2025-10-22,Боба Рэббит,non-cash,9400
2025-10-22,Галерея Краснодар,cash,350
2025-10-22,Галерея Краснодар,non-cash,5450
2025-10-22,Грин Парк,cash,750
2025-10-22,Грин Парк,non-cash,5350
2025-10-22,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,400
2025-10-22,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2250
2025-10-22,Красная,cash,896
2025-10-22,Красная,non-cash,5675
2025-10-22,Краснодар Оз Мол,cash,0
2025-10-22,Краснодар Оз Мол,non-cash,150
2025-10-22,Советов,cash,0
2025-10-22,Советов,non-cash,4900
2025-10-22,Черноморский,cash,700
2025-10-22,Черноморский,non-cash,3108
2025-10-23,Анапа Черноморская,cash,650
2025-10-23,Анапа Черноморская,non-cash,350
2025-10-23,Боба Рэббит,cash,2500
2025-10-23,Боба Рэббит,non-cash,3550
2025-10-23,Галерея Краснодар,cash,250
2025-10-23,Галерея Краснодар,non-cash,3725
2025-10-23,Грин Парк,cash,4990
2025-10-23,Грин Парк,non-cash,10150
2025-10-23,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-23,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3595
2025-10-23,Красная,cash,975
2025-10-23,Красная,non-cash,5830
2025-10-23,Краснодар Оз Мол,cash,950
2025-10-23,Краснодар Оз Мол,non-cash,3450
2025-10-23,Советов,cash,1050
2025-10-23,Советов,non-cash,5850
2025-10-23,Черноморский,cash,450
2025-10-23,Черноморский,non-cash,6175
2025-10-24,Боба Рэббит,cash,500
2025-10-24,Боба Рэббит,non-cash,16250
2025-10-24,Галерея Краснодар,cash,1050
2025-10-24,Галерея Краснодар,non-cash,4940
2025-10-24,Грин Парк,cash,2850
2025-10-24,Грин Парк,non-cash,8780
2025-10-24,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1800
2025-10-24,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,2150
2025-10-24,Красная,cash,2450
2025-10-24,Красная,non-cash,10530
2025-10-24,Краснодар Оз Мол,cash,250
2025-10-24,Краснодар Оз Мол,non-cash,0
2025-10-24,Советов,cash,2450
2025-10-24,Советов,non-cash,0
2025-10-24,Черноморский,cash,1000
2025-10-24,Черноморский,non-cash,4050
2025-10-25,Боба Рэббит,cash,5650
2025-10-25,Боба Рэббит,non-cash,24521
2025-10-25,Галерея Краснодар,cash,3375
2025-10-25,Галерея Краснодар,non-cash,15650
2025-10-25,Геленджик,cash,12000
2025-10-25,Геленджик,non-cash,58660
2025-10-25,Грин Парк,cash,3600
2025-10-25,Грин Парк,non-cash,13405
2025-10-25,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,3300
2025-10-25,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,8350
2025-10-25,Красная,cash,3250
2025-10-25,Красная,non-cash,12105
2025-10-25,Краснодар Оз Мол,cash,1100
2025-10-25,Краснодар Оз Мол,non-cash,9250
2025-10-25,Советов,cash,1150
2025-10-25,Советов,non-cash,5900
2025-10-25,Черноморский,cash,1100
2025-10-25,Черноморский,non-cash,0
2025-10-26,Боба Рэббит,cash,4050
2025-10-26,Боба Рэббит,non-cash,21300
2025-10-26,Галерея Краснодар,cash,2900
2025-10-26,Галерея Краснодар,non-cash,11425
2025-10-26,Грин Парк,cash,4265
2025-10-26,Грин Парк,non-cash,19490
2025-10-26,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1850
2025-10-26,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,5250
2025-10-26,Красная,cash,1200
2025-10-26,Красная,non-cash,9200
2025-10-26,Краснодар Оз Мол,cash,7200
2025-10-26,Краснодар Оз Мол,non-cash,6800
2025-10-26,Советов,cash,800
2025-10-26,Советов,non-cash,8400
2025-10-26,Черноморский,cash,450
2025-10-26,Черноморский,non-cash,0
2025-10-27,Боба Рэббит,cash,11250
2025-10-27,Боба Рэббит,non-cash,19411
2025-10-27,Галерея Краснодар,cash,3700
2025-10-27,Галерея Краснодар,non-cash,6250
2025-10-27,Грин Парк,cash,3750
2025-10-27,Грин Парк,non-cash,5250
2025-10-27,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,350
2025-10-27,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3900
2025-10-27,Красная,cash,1950
2025-10-27,Красная,non-cash,9340
2025-10-27,Краснодар Оз Мол,cash,350
2025-10-27,Краснодар Оз Мол,non-cash,3950
2025-10-27,Советов,cash,2200
2025-10-27,Советов,non-cash,5650
2025-10-27,Черноморский,cash,0
2025-10-27,Черноморский,non-cash,0
2025-10-28,Боба Рэббит,cash,4750
2025-10-28,Боба Рэббит,non-cash,18533
2025-10-28,Галерея Краснодар,cash,3500
2025-10-28,Галерея Краснодар,non-cash,11400
2025-10-28,Грин Парк,cash,6100
2025-10-28,Грин Парк,non-cash,7585
2025-10-28,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-10-28,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,1800
2025-10-28,Красная,cash,4280
2025-10-28,Красная,non-cash,6575
2025-10-28,Краснодар Оз Мол,cash,800
2025-10-28,Краснодар Оз Мол,non-cash,4400
2025-10-28,Советов,cash,2305
2025-10-28,Советов,non-cash,4853
2025-10-28,Черноморский,cash,3950
2025-10-28,Черноморский,non-cash,775
2025-10-29,Боба Рэббит,cash,5200
2025-10-29,Боба Рэббит,non-cash,17653
2025-10-29,Галерея Краснодар,cash,2250
2025-10-29,Галерея Краснодар,non-cash,6785
2025-10-29,Грин Парк,cash,5525
2025-10-29,Грин Парк,non-cash,12210
2025-10-29,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,800
2025-10-29,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3850
2025-10-29,Красная,cash,1950
2025-10-29,Красная,non-cash,3960
2025-10-29,Краснодар Оз Мол,cash,2300
2025-10-29,Краснодар Оз Мол,non-cash,6250
2025-10-29,Советов,cash,775
2025-10-29,Советов,non-cash,5100
2025-10-29,Черноморский,cash,2000
2025-10-29,Черноморский,non-cash,7100
2025-10-30,Боба Рэббит,cash,4850
2025-10-30,Боба Рэббит,non-cash,18775
2025-10-30,Галерея Краснодар,cash,1700
2025-10-30,Галерея Краснодар,non-cash,8000
2025-10-30,Грин Парк,cash,4400
2025-10-30,Грин Парк,non-cash,14925
2025-10-30,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,950
2025-10-30,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,5185
2025-10-30,Красная,cash,700
2025-10-30,Красная,non-cash,7125
2025-10-30,Краснодар Оз Мол,cash,200
2025-10-30,Краснодар Оз Мол,non-cash,3950
2025-10-30,Советов,cash,1425
2025-10-30,Советов,non-cash,9900
2025-10-30,Черноморский,cash,1100
2025-10-30,Черноморский,non-cash,6900
2025-10-31,Боба Рэббит,cash,5150
2025-10-31,Боба Рэббит,non-cash,15200
2025-10-31,Галерея Краснодар,cash,3425
2025-10-31,Галерея Краснодар,non-cash,9300
2025-10-31,Грин Парк,cash,3765
2025-10-31,Грин Парк,non-cash,12550
2025-10-31,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,2550
2025-10-31,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,6975
2025-10-31,Красная,cash,2300
2025-10-31,Красная,non-cash,6175
2025-10-31,Краснодар Оз Мол,cash,550
2025-10-31,Краснодар Оз Мол,non-cash,3258
2025-10-31,Советов,cash,1700
2025-10-31,Советов,non-cash,8375
2025-10-31,Черноморский,cash,900
2025-10-31,Черноморский,non-cash,8925
2025-11-01,Боба Рэббит,cash,6850
2025-11-01,Боба Рэббит,non-cash,17050
2025-11-01,Галерея Краснодар,cash,1100
2025-11-01,Галерея Краснодар,non-cash,8500
2025-11-01,Грин Парк,cash,5960
2025-11-01,Грин Парк,non-cash,13915
2025-11-01,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,700
2025-11-01,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,6960
2025-11-01,Красная,cash,1800
2025-11-01,Красная,non-cash,10799
2025-11-01,Краснодар Оз Мол,cash,1400
2025-11-01,Краснодар Оз Мол,non-cash,4450
2025-11-01,Советов,cash,1050
2025-11-01,Советов,non-cash,4925
2025-11-01,Черноморский,cash,1300
2025-11-01,Черноморский,non-cash,6411
2025-11-02,Боба Рэббит,cash,12660
2025-11-02,Боба Рэббит,non-cash,16950
2025-11-02,Галерея Краснодар,cash,3150
2025-11-02,Галерея Краснодар,non-cash,8300
2025-11-02,Грин Парк,cash,3825
2025-11-02,Грин Парк,non-cash,17450
2025-11-02,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1400
2025-11-02,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,7150
2025-11-02,Красная,cash,5250
2025-11-02,Красная,non-cash,3000
2025-11-02,Краснодар Оз Мол,cash,4400
2025-11-02,Краснодар Оз Мол,non-cash,13550
2025-11-02,Советов,cash,2000
2025-11-02,Советов,non-cash,9010
2025-11-02,Черноморский,cash,2700
2025-11-02,Черноморский,non-cash,14525
2025-11-03,Боба Рэббит,cash,5300
2025-11-03,Боба Рэббит,non-cash,23250
2025-11-03,Галерея Краснодар,cash,2200
2025-11-03,Галерея Краснодар,non-cash,9950
2025-11-03,Грин Парк,cash,1650
2025-11-03,Грин Парк,non-cash,11310
2025-11-03,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1350
2025-11-03,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,7300
2025-11-03,Красная,cash,600
